Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_FP,,,,02-01-2026 14:47:27,02-01-2026 14:47:29,1.575s,SKIPPED
,,,,,,,
Test Cases/FP/FP-01,,,,02-01-2026 14:47:29,02-01-2026 14:47:29,0.005s,SKIPPED
,,,,,,,
Test Cases/FP/FP-02,,,,02-01-2026 14:47:29,02-01-2026 14:47:29,0.003s,SKIPPED
,,,,,,,
Test Cases/FP/FP-04,,,,02-01-2026 14:47:29,02-01-2026 14:47:29,0.004s,SKIPPED
,,,,,,,
Test Cases/FP/FP-06,,,,02-01-2026 14:47:29,02-01-2026 14:47:29,0.004s,SKIPPED
,,,,,,,
Test Cases/FP/FP-07,,,,02-01-2026 14:47:29,02-01-2026 14:47:29,0.004s,SKIPPED
