Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_LGG,,,,02-01-2026 14:47:35,02-01-2026 14:47:37,1.693s,SKIPPED
,,,,,,,
Test Cases/LGG/LG-01,,,,02-01-2026 14:47:36,02-01-2026 14:47:36,0.005s,SKIPPED
,,,,,,,
Test Cases/LGG/LG-02,,,,02-01-2026 14:47:36,02-01-2026 14:47:36,0.003s,SKIPPED
,,,,,,,
Test Cases/LGG/LG-03,,,,02-01-2026 14:47:37,02-01-2026 14:47:37,0.003s,SKIPPED
,,,,,,,
Test Cases/LGG/LG-05,,,,02-01-2026 14:47:37,02-01-2026 14:47:37,0.003s,SKIPPED
,,,,,,,
Test Cases/LGG/LG-07,,,,02-01-2026 14:47:37,02-01-2026 14:47:37,0.003s,SKIPPED
,,,,,,,
Test Cases/LGG/LG-08,,,,02-01-2026 14:47:37,02-01-2026 14:47:37,0.003s,SKIPPED
,,,,,,,
Test Cases/LGG/LG-10,,,,02-01-2026 14:47:37,02-01-2026 14:47:37,0.003s,SKIPPED
,,,,,,,
Test Cases/LGG/LG-09,,,,02-01-2026 14:47:37,02-01-2026 14:47:37,0.004s,SKIPPED
,,,,,,,
Test Cases/LGG/LG-11,,,,02-01-2026 14:47:37,02-01-2026 14:47:37,0.005s,SKIPPED
,,,,,,,
Test Cases/LGG/LG-12,,,,02-01-2026 14:47:37,02-01-2026 14:47:37,0.003s,SKIPPED
,,,,,,,
Test Cases/LGG/LG-13,,,,02-01-2026 14:47:37,02-01-2026 14:47:37,0.003s,SKIPPED
