Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_CA,Chrome 143.0.7499.170,,,02-01-2026 15:00:01,02-01-2026 15:00:38,36.209s,PASSED
,,,,,,,
Test Cases/CA/CA-01,Chrome 143.0.7499.170,,,02-01-2026 15:00:03,02-01-2026 15:00:24,20.296s,PASSED
LOCAL_PAGELOAD = 300,Chrome 143.0.7499.170,,,02-01-2026 15:00:04,02-01-2026 15:00:04,0.004s,PASSED
WAIT_ELEMENT_BEFORE_RELOAD = 120,Chrome 143.0.7499.170,,,02-01-2026 15:00:04,02-01-2026 15:00:04,0.003s,PASSED
MAX_RELOAD_ATTEMPTS = 5,Chrome 143.0.7499.170,,,02-01-2026 15:00:04,02-01-2026 15:00:04,0.003s,PASSED
WAIT_AFTER_CLICK = 60,Chrome 143.0.7499.170,,,02-01-2026 15:00:04,02-01-2026 15:00:04,0.003s,PASSED
"openBrowser("""")",Chrome 143.0.7499.170,,,02-01-2026 15:00:04,02-01-2026 15:00:09,5.496s,PASSED
maximizeWindow(),Chrome 143.0.7499.170,,,02-01-2026 15:00:09,02-01-2026 15:00:09,0.100s,PASSED
"navigateToUrl(""https://qa.engagement.magiqdev.cloud/login"")",Chrome 143.0.7499.170,,,02-01-2026 15:00:09,02-01-2026 15:00:18,8.693s,PASSED
waitForPageLoad(LOCAL_PAGELOAD),Chrome 143.0.7499.170,,,02-01-2026 15:00:18,02-01-2026 15:00:18,0.183s,PASSED
aAccountRegister = new com.kms.katalon.core.testobject.TestObject(a_account_register),Chrome 143.0.7499.170,,,02-01-2026 15:00:18,02-01-2026 15:00:18,0.016s,PASSED
"aAccountRegister.addProperty(""xpath"", EQUALS, ""//a[@href='/accountregister']"")",Chrome 143.0.7499.170,,,02-01-2026 15:00:18,02-01-2026 15:00:18,0.011s,PASSED
divAlignmentHeader = new com.kms.katalon.core.testobject.TestObject(div_alignment_header),Chrome 143.0.7499.170,,,02-01-2026 15:00:18,02-01-2026 15:00:18,0.002s,PASSED
"divAlignmentHeader.addProperty(""xpath"", EQUALS, ""//*[contains(concat(' ', normalize-space(@class), ' '), ' div-alignment-header ')]"")",Chrome 143.0.7499.170,,,02-01-2026 15:00:18,02-01-2026 15:00:18,0.003s,PASSED
linkVisible = false,Chrome 143.0.7499.170,,,02-01-2026 15:00:18,02-01-2026 15:00:18,0.003s,PASSED
