Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login,Chrome 143.0.7499.170,,,02-01-2026 14:55:57,02-01-2026 14:57:51,1m - 53.603s,PASSED
,,,,,,,
Test Cases/Login/LG-01,Chrome 143.0.7499.170,,,02-01-2026 14:57:22,02-01-2026 14:57:38,15.871s,PASSED
Start setup action : setupTestCase,Chrome 143.0.7499.170,,,02-01-2026 14:57:22,02-01-2026 14:57:22,0.008s,PASSED
LOCAL_PAGELOAD = 300,Chrome 143.0.7499.170,,,02-01-2026 14:57:22,02-01-2026 14:57:22,0.001s,PASSED
WAIT_ELEMENT_BEFORE_RELOAD = 120,Chrome 143.0.7499.170,,,02-01-2026 14:57:22,02-01-2026 14:57:22,0.001s,PASSED
MAX_RELOAD_ATTEMPTS = 5,Chrome 143.0.7499.170,,,02-01-2026 14:57:22,02-01-2026 14:57:22,0.001s,PASSED
AFTER_LOGIN_WAIT = 120,Chrome 143.0.7499.170,,,02-01-2026 14:57:22,02-01-2026 14:57:22,0.004s,PASSED
SHORT = 5,Chrome 143.0.7499.170,,,02-01-2026 14:57:22,02-01-2026 14:57:22,0.001s,PASSED
MEDIUM = 15,Chrome 143.0.7499.170,,,02-01-2026 14:57:22,02-01-2026 14:57:22,0.001s,PASSED
LONG = 30,Chrome 143.0.7499.170,,,02-01-2026 14:57:22,02-01-2026 14:57:22,0.002s,PASSED
"openBrowser("""")",Chrome 143.0.7499.170,,,02-01-2026 14:57:22,02-01-2026 14:57:25,2.754s,PASSED
maximizeWindow(),Chrome 143.0.7499.170,,,02-01-2026 14:57:25,02-01-2026 14:57:25,0.072s,PASSED
"navigateToUrl(""https://qa.engagement.magiqdev.cloud/login"")",Chrome 143.0.7499.170,,,02-01-2026 14:57:25,02-01-2026 14:57:25,0.152s,PASSED
waitForPageLoad(LOCAL_PAGELOAD),Chrome 143.0.7499.170,,,02-01-2026 14:57:25,02-01-2026 14:57:26,1.266s,PASSED
spanAdmin = new com.kms.katalon.core.testobject.TestObject(obj_span_admin_test_1),Chrome 143.0.7499.170,,,02-01-2026 14:57:26,02-01-2026 14:57:26,0.001s,PASSED
"spanAdmin.addProperty(""xpath"", EQUALS, ""//button[.//span[contains(normalize-space(), 'test')]]"")",Chrome 143.0.7499.170,,,02-01-2026 14:57:26,02-01-2026 14:57:26,0.001s,PASSED
iExitToApp = new com.kms.katalon.core.testobject.TestObject(obj_i_exit_to_app),Chrome 143.0.7499.170,,,02-01-2026 14:57:26,02-01-2026 14:57:26,0.000s,PASSED
"iExitToApp.addProperty(""xpath"", EQUALS, ""//i[normalize-space(text())='exit_to_app']"")",Chrome 143.0.7499.170,,,02-01-2026 14:57:26,02-01-2026 14:57:26,0.001s,PASSED
userNameInput = new com.kms.katalon.core.testobject.TestObject(obj_input_userName),Chrome 143.0.7499.170,,,02-01-2026 14:57:26,02-01-2026 14:57:26,0.002s,PASSED
"userNameInput.addProperty(""id"", EQUALS, ""userName"")",Chrome 143.0.7499.170,,,02-01-2026 14:57:26,02-01-2026 14:57:26,0.002s,PASSED
currentUrl = getUrl(),Chrome 143.0.7499.170,,,02-01-2026 14:57:26,02-01-2026 14:57:27,0.058s,PASSED
"if (currentUrl == ""https://qa.engagement.magiqdev.cloud/news"")",Chrome 143.0.7499.170,,,02-01-2026 14:57:27,02-01-2026 14:57:27,0.001s,PASSED
