Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_OP,Chrome 143.0.7499.170,,,06-01-2026 10:23:17,06-01-2026 10:24:50,1m - 32.875s,PASSED
,,,,,,,
Test Cases/OP/OP1.1,Chrome 143.0.7499.170,,,06-01-2026 10:24:07,06-01-2026 10:24:28,20.599s,PASSED
"callTestCase(findTestCase(""Login/LG-01""), [:], STOP_ON_FAILURE)",Chrome 143.0.7499.170,,,06-01-2026 10:24:07,06-01-2026 10:24:25,18.118s,PASSED
PAGELOAD_TIMEOUT = 300,Chrome 143.0.7499.170,,,06-01-2026 10:24:25,06-01-2026 10:24:25,0.001s,PASSED
WAIT_FIELD = 60,Chrome 143.0.7499.170,,,06-01-2026 10:24:25,06-01-2026 10:24:25,0.001s,PASSED
MAX_RELOAD_ATTEMPTS = 1,Chrome 143.0.7499.170,,,06-01-2026 10:24:25,06-01-2026 10:24:25,0.001s,PASSED
WAIT_AFTER_CLICK = 90,Chrome 143.0.7499.170,,,06-01-2026 10:24:25,06-01-2026 10:24:25,0.001s,PASSED
WAIT_TIMEOUT = 120,Chrome 143.0.7499.170,,,06-01-2026 10:24:25,06-01-2026 10:24:25,0.001s,PASSED
MEDIUM = 15,Chrome 143.0.7499.170,,,06-01-2026 10:24:25,06-01-2026 10:24:25,0.002s,PASSED
SHORT = 5,Chrome 143.0.7499.170,,,06-01-2026 10:24:25,06-01-2026 10:24:25,0.002s,PASSED
LONG = 30,Chrome 143.0.7499.170,,,06-01-2026 10:24:25,06-01-2026 10:24:25,0.001s,PASSED
try,Chrome 143.0.7499.170,,,06-01-2026 10:24:25,06-01-2026 10:24:26,0.597s,PASSED
driver = getWebDriver(),Chrome 143.0.7499.170,,,06-01-2026 10:24:26,06-01-2026 10:24:26,0.001s,PASSED
"bodyEl = driver.findElement(By.tagName(""body""))",Chrome 143.0.7499.170,,,06-01-2026 10:24:26,06-01-2026 10:24:26,0.601s,PASSED
actions = new org.openqa.selenium.interactions.Actions(driver),Chrome 143.0.7499.170,,,06-01-2026 10:24:26,06-01-2026 10:24:26,0.010s,PASSED
targetX = 0,Chrome 143.0.7499.170,,,06-01-2026 10:24:26,06-01-2026 10:24:26,0.000s,PASSED
targetY = 300,Chrome 143.0.7499.170,,,06-01-2026 10:24:26,06-01-2026 10:24:26,0.000s,PASSED
"moveToElement(bodyEl, targetX, targetY).perform()",Chrome 143.0.7499.170,,,06-01-2026 10:24:26,06-01-2026 10:24:27,0.131s,PASSED
"comment(🖱️ Đã move Actions tới body offset (x=$targetX, y=$targetY).)",Chrome 143.0.7499.170,,,06-01-2026 10:24:27,06-01-2026 10:24:27,0.003s,PASSED
click().perform(),Chrome 143.0.7499.170,,,06-01-2026 10:24:27,06-01-2026 10:24:27,0.010s,PASSED
"comment(✅ Đã click bằng Actions tại mép trái (x≈0), giữa màn hình (y≈$targetY).)",Chrome 143.0.7499.170,,,06-01-2026 10:24:27,06-01-2026 10:24:27,0.003s,PASSED
aAccount = new com.kms.katalon.core.testobject.TestObject(a_account),Chrome 143.0.7499.170,,,06-01-2026 10:24:27,06-01-2026 10:24:27,0.002s,PASSED
"aAccount.addProperty(""xpath"", EQUALS, ""//a[@href='account']"")",Chrome 143.0.7499.170,,,06-01-2026 10:24:27,06-01-2026 10:24:27,0.002s,PASSED
"present = waitForElementPresent(aAccount, WAIT_TIMEOUT, OPTIONAL)",Chrome 143.0.7499.170,,,06-01-2026 10:24:27,06-01-2026 10:24:27,0.240s,PASSED
"visible = waitForElementVisible(aAccount, WAIT_TIMEOUT, OPTIONAL)",Chrome 143.0.7499.170,,,06-01-2026 10:24:27,06-01-2026 10:24:27,0.238s,PASSED
"clickable = waitForElementClickable(aAccount, WAIT_TIMEOUT, OPTIONAL)",Chrome 143.0.7499.170,,,06-01-2026 10:24:27,06-01-2026 10:24:27,0.247s,PASSED
if (!(present && visible)),Chrome 143.0.7499.170,,,06-01-2026 10:24:27,06-01-2026 10:24:27,0.001s,PASSED
if (clickable),Chrome 143.0.7499.170,,,06-01-2026 10:24:27,06-01-2026 10:24:28,0.349s,PASSED
,,,,,,,
Test Cases/OP/OP1.6,Chrome 143.0.7499.170,,,06-01-2026 10:24:28,06-01-2026 10:24:36,8.616s,PASSED
"verifyElementHasAttribute(findTestObject(""TO_address""), ""disabled"", 5)",Chrome 143.0.7499.170,,,06-01-2026 10:24:28,06-01-2026 10:24:29,1.596s,PASSED
"verifyElementHasAttribute(findTestObject(""TO_email""), ""disabled"", 5)",Chrome 143.0.7499.170,,,06-01-2026 10:24:29,06-01-2026 10:24:30,0.244s,PASSED
"verifyElementHasAttribute(findTestObject(""TO_full_name""), ""disabled"", 5)",Chrome 143.0.7499.170,,,06-01-2026 10:24:30,06-01-2026 10:24:30,0.239s,PASSED
"verifyElementHasAttribute(findTestObject(""TO_phone_number""), ""disabled"", 5)",Chrome 143.0.7499.170,,,06-01-2026 10:24:30,06-01-2026 10:24:30,0.232s,PASSED
"verifyElementHasAttribute(findTestObject(""TO_user_role""), ""disabled"", 5)",Chrome 143.0.7499.170,,,06-01-2026 10:24:30,06-01-2026 10:24:36,6.209s,WARNING
,,,,,,,
Test Cases/OP/OP1.7,Chrome 143.0.7499.170,,,06-01-2026 10:24:36,06-01-2026 10:24:38,1.640s,PASSED
"scrollToElement(findTestObject(""TO_edit_details""), 5)",Chrome 143.0.7499.170,,,06-01-2026 10:24:36,06-01-2026 10:24:37,0.257s,PASSED
"click(findTestObject(""TO_edit_details""))",Chrome 143.0.7499.170,,,06-01-2026 10:24:37,06-01-2026 10:24:37,0.305s,PASSED
"verifyElementNotHasAttribute(findTestObject(""TO_full_name""), ""disabled"", 5)",Chrome 143.0.7499.170,,,06-01-2026 10:24:37,06-01-2026 10:24:37,0.274s,PASSED
"verifyElementNotHasAttribute(findTestObject(""TO_address""), ""disabled"", 5)",Chrome 143.0.7499.170,,,06-01-2026 10:24:37,06-01-2026 10:24:37,0.256s,PASSED
"verifyElementNotHasAttribute(findTestObject(""TO_phone_number""), ""disabled"", 5)",Chrome 143.0.7499.170,,,06-01-2026 10:24:37,06-01-2026 10:24:38,0.232s,PASSED
"verifyElementAttributeValue(findTestObject(""TO_edit_details""), ""aria-label"", ""Apply Changes"", 5)",Chrome 143.0.7499.170,,,06-01-2026 10:24:38,06-01-2026 10:24:38,0.268s,PASSED
,,,,,,,
Test Cases/OP/OP1.8,Chrome 143.0.7499.170,,,06-01-2026 10:24:38,06-01-2026 10:24:50,11.770s,PASSED
"setText(findTestObject(""TO_full_name""), ""Admin test 2"")",Chrome 143.0.7499.170,,,06-01-2026 10:24:38,06-01-2026 10:24:39,0.577s,PASSED
"setText(findTestObject(""TO_phone_number""), ""123456789"")",Chrome 143.0.7499.170,,,06-01-2026 10:24:39,06-01-2026 10:24:39,0.560s,PASSED
"setText(findTestObject(""TO_address""), ""address 123"")",Chrome 143.0.7499.170,,,06-01-2026 10:24:39,06-01-2026 10:24:40,0.573s,PASSED
"scrollToElement(findTestObject(""TO_edit_details""), 5)",Chrome 143.0.7499.170,,,06-01-2026 10:24:40,06-01-2026 10:24:40,0.252s,PASSED
"click(findTestObject(""TO_edit_details""))",Chrome 143.0.7499.170,,,06-01-2026 10:24:40,06-01-2026 10:24:40,0.328s,PASSED
"callTestCase(findTestCase(""OP/OP1.6""), [:], STOP_ON_FAILURE)",Chrome 143.0.7499.170,,,06-01-2026 10:24:40,06-01-2026 10:24:49,8.680s,PASSED
"verifyElementAttributeValue(findTestObject(""TO_full_name""), ""value"", ""Admin test 2"", 5)",Chrome 143.0.7499.170,,,06-01-2026 10:24:49,06-01-2026 10:24:49,0.239s,PASSED
"verifyElementAttributeValue(findTestObject(""TO_phone_number""), ""value"", ""123456789"", 5)",Chrome 143.0.7499.170,,,06-01-2026 10:24:49,06-01-2026 10:24:49,0.234s,PASSED
"verifyElementAttributeValue(findTestObject(""TO_address""), ""value"", ""address 123"", 5)",Chrome 143.0.7499.170,,,06-01-2026 10:24:49,06-01-2026 10:24:50,0.243s,PASSED
