Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_CO,Chrome 143.0.7499.170,,,06-01-2026 16:13:23,06-01-2026 16:13:58,35.289s,PASSED
,,,,,,,
Test Cases/CO/TC1.1,Chrome 143.0.7499.170,,,06-01-2026 16:13:25,06-01-2026 16:13:52,26.812s,PASSED
"callTestCase(findTestCase(""Login/LG-01""), [:], STOP_ON_FAILURE)",Chrome 143.0.7499.170,,,06-01-2026 16:13:27,06-01-2026 16:13:48,21.082s,PASSED
PAGELOAD_TIMEOUT = 300,Chrome 143.0.7499.170,,,06-01-2026 16:13:48,06-01-2026 16:13:48,0.003s,PASSED
WAIT_FIELD = 60,Chrome 143.0.7499.170,,,06-01-2026 16:13:48,06-01-2026 16:13:48,0.003s,PASSED
MAX_RELOAD_ATTEMPTS = 1,Chrome 143.0.7499.170,,,06-01-2026 16:13:48,06-01-2026 16:13:48,0.008s,PASSED
WAIT_AFTER_CLICK = 90,Chrome 143.0.7499.170,,,06-01-2026 16:13:48,06-01-2026 16:13:48,0.002s,PASSED
WAIT_TIMEOUT = 120,Chrome 143.0.7499.170,,,06-01-2026 16:13:48,06-01-2026 16:13:48,0.003s,PASSED
MEDIUM = 15,Chrome 143.0.7499.170,,,06-01-2026 16:13:48,06-01-2026 16:13:48,0.002s,PASSED
SHORT = 5,Chrome 143.0.7499.170,,,06-01-2026 16:13:48,06-01-2026 16:13:48,0.004s,PASSED
LONG = 30,Chrome 143.0.7499.170,,,06-01-2026 16:13:48,06-01-2026 16:13:48,0.001s,PASSED
try,Chrome 143.0.7499.170,,,06-01-2026 16:13:48,06-01-2026 16:13:49,0.647s,PASSED
driver = getWebDriver(),Chrome 143.0.7499.170,,,06-01-2026 16:13:49,06-01-2026 16:13:49,0.003s,PASSED
"bodyEl = driver.findElement(By.tagName(""body""))",Chrome 143.0.7499.170,,,06-01-2026 16:13:49,06-01-2026 16:13:49,0.244s,PASSED
actions = new org.openqa.selenium.interactions.Actions(driver),Chrome 143.0.7499.170,,,06-01-2026 16:13:49,06-01-2026 16:13:49,0.018s,PASSED
targetX = 0,Chrome 143.0.7499.170,,,06-01-2026 16:13:49,06-01-2026 16:13:49,0.002s,PASSED
targetY = 300,Chrome 143.0.7499.170,,,06-01-2026 16:13:49,06-01-2026 16:13:49,0.001s,PASSED
"moveToElement(bodyEl, targetX, targetY).perform()",Chrome 143.0.7499.170,,,06-01-2026 16:13:49,06-01-2026 16:13:49,0.137s,PASSED
"comment(🖱️ Đã move Actions tới body offset (x=$targetX, y=$targetY).)",Chrome 143.0.7499.170,,,06-01-2026 16:13:49,06-01-2026 16:13:49,0.004s,PASSED
click().perform(),Chrome 143.0.7499.170,,,06-01-2026 16:13:49,06-01-2026 16:13:49,0.016s,PASSED
"comment(✅ Đã click bằng Actions tại mép trái (x≈0), giữa màn hình (y≈$targetY).)",Chrome 143.0.7499.170,,,06-01-2026 16:13:49,06-01-2026 16:13:49,0.005s,PASSED
aAccount = new com.kms.katalon.core.testobject.TestObject(a_account),Chrome 143.0.7499.170,,,06-01-2026 16:13:49,06-01-2026 16:13:49,0.003s,PASSED
"aAccount.addProperty(""xpath"", EQUALS, ""//a[@href='organisation']"")",Chrome 143.0.7499.170,,,06-01-2026 16:13:49,06-01-2026 16:13:49,0.002s,PASSED
"present = waitForElementPresent(aAccount, WAIT_TIMEOUT, OPTIONAL)",Chrome 143.0.7499.170,,,06-01-2026 16:13:49,06-01-2026 16:13:49,0.256s,PASSED
"visible = waitForElementVisible(aAccount, WAIT_TIMEOUT, OPTIONAL)",Chrome 143.0.7499.170,,,06-01-2026 16:13:49,06-01-2026 16:13:50,0.249s,PASSED
"clickable = waitForElementClickable(aAccount, WAIT_TIMEOUT, OPTIONAL)",Chrome 143.0.7499.170,,,06-01-2026 16:13:50,06-01-2026 16:13:50,0.296s,PASSED
if (!(present && visible)),Chrome 143.0.7499.170,,,06-01-2026 16:13:50,06-01-2026 16:13:50,0.001s,PASSED
if (clickable),Chrome 143.0.7499.170,,,06-01-2026 16:13:50,06-01-2026 16:13:50,0.369s,PASSED
"click(findTestObject(""CO/btt_change_org""))",Chrome 143.0.7499.170,,,06-01-2026 16:13:50,06-01-2026 16:13:51,0.676s,PASSED
"waitForElementVisible(findTestObject(""CO/modal_org""), 30)",Chrome 143.0.7499.170,,,06-01-2026 16:13:51,06-01-2026 16:13:52,1.239s,PASSED
,,,,,,,
Test Cases/CO/TC1.2,Chrome 143.0.7499.170,,,06-01-2026 16:13:52,06-01-2026 16:13:56,3.991s,PASSED
