Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Interest,Chrome 144.0.7559.98,,,29-01-2026 15:32:59,29-01-2026 15:33:19,19.828s,PASSED
,,,,,,,
Test Cases/Interests/TC_INT_07,Chrome 144.0.7559.98,,,29-01-2026 15:33:01,29-01-2026 15:33:19,18.004s,PASSED
"openBrowser("""")",Chrome 144.0.7559.98,,,29-01-2026 15:33:01,29-01-2026 15:33:04,3.417s,PASSED
"navigateToUrl(""https://qa.engagement.magiqdev.cloud/organisation"")",Chrome 144.0.7559.98,,,29-01-2026 15:33:04,29-01-2026 15:33:05,0.996s,PASSED
"waitForElementClickable(findTestObject(""Interest/btn_interest""), 120)",Chrome 144.0.7559.98,,,29-01-2026 15:33:05,29-01-2026 15:33:13,7.842s,PASSED
"click(findTestObject(""Interest/btn_interest""))",Chrome 144.0.7559.98,,,29-01-2026 15:33:13,29-01-2026 15:33:14,0.459s,PASSED
"waitForElementClickable(findTestObject(""Location/btn_upload""), 120)",Chrome 144.0.7559.98,,,29-01-2026 15:33:14,29-01-2026 15:33:16,2.238s,PASSED
"click(findTestObject(""Location/btn_upload""))",Chrome 144.0.7559.98,,,29-01-2026 15:33:16,29-01-2026 15:33:16,0.382s,PASSED
"filePath = ""D:\Upload\interest.txt""",Chrome 144.0.7559.98,,,29-01-2026 15:33:16,29-01-2026 15:33:16,0.004s,PASSED
robot = new java.awt.Robot(),Chrome 144.0.7559.98,,,29-01-2026 15:33:16,29-01-2026 15:33:16,0.100s,PASSED
"getSystemClipboard().setContents(new java.awt.datatransfer.StringSelection(filePath), null)",Chrome 144.0.7559.98,,,29-01-2026 15:33:16,29-01-2026 15:33:17,0.172s,PASSED
robot.keyPress(VK_CONTROL),Chrome 144.0.7559.98,,,29-01-2026 15:33:17,29-01-2026 15:33:17,0.083s,PASSED
robot.keyPress(VK_V),Chrome 144.0.7559.98,,,29-01-2026 15:33:17,29-01-2026 15:33:17,0.008s,PASSED
robot.keyRelease(VK_V),Chrome 144.0.7559.98,,,29-01-2026 15:33:17,29-01-2026 15:33:17,0.005s,PASSED
robot.keyRelease(VK_CONTROL),Chrome 144.0.7559.98,,,29-01-2026 15:33:17,29-01-2026 15:33:17,0.009s,PASSED
robot.keyPress(VK_ENTER),Chrome 144.0.7559.98,,,29-01-2026 15:33:17,29-01-2026 15:33:17,0.007s,PASSED
robot.keyRelease(VK_ENTER),Chrome 144.0.7559.98,,,29-01-2026 15:33:17,29-01-2026 15:33:17,0.008s,PASSED
"waitForElementClickable(findTestObject(""Interest/btn_update""), 30)",Chrome 144.0.7559.98,,,29-01-2026 15:33:17,29-01-2026 15:33:18,1.321s,PASSED
"click(findTestObject(""Interest/btn_update""))",Chrome 144.0.7559.98,,,29-01-2026 15:33:18,29-01-2026 15:33:19,0.475s,PASSED
